 5664     9    13     7     8   143    23     0    43    13
   76  3931   171   136   102  1281   672     0   332    41
   33    72  5159    41    99   332    63     0   117    42
   14    30   101  5435    11   364    14     0   118    44
    9    95    11     4  5247   113    54     0    30   279
  121   233    93   176    99  3768   145     0   567   219
   34    64    32     4    23   213  5484     0    45    19
  114   285   161   109   121  4480    76     0   473   446
   42   145    50    41    14   678    40     0  4763    78
   33    39    10    32   114   342     4     0    85  5290
