 5816     1     4    13     2     1    18     5    61     2
    0  6643    23    23    12     1     2     9    19    10
   14     3  5795    31    11     0    13    28    55     8
    2     1    28  5940     5    20     1    27    79    28
    6     6     2     5  5717     1    13     8    33    51
    8     6    10    63     3  5220    35     8    51    17
   17     6     2    11     5    18  5820     3    34     2
    6     4    19     5    11     3     0  6152    14    51
   11    13     6    10     5    11     9     3  5768    15
   19     2     1    56    15    12     2    35    73  5734
