 5868     1     5     2     2     1    14     2    21     7
    1  6658    27    14    10     3     1     8    16     4
   12     6  5885     7     9     1     5    23     6     4
    6     1    41  5979     6    20     2    28    28    20
    2     9     1     0  5779     0    12     5     5    29
   10     2    11    26     8  5311    21     5    18     9
   17     7     1     1     4    10  5863     0    15     0
    6    14    25     7    10     1     0  6173     7    22
   10    15     6     8     5    12     8     1  5772    14
   16     7     6    19    30    15     2    31    41  5782
