 5811     1     4     7     3     5    19     3    65     5
    1  6669    16     9     9     2     2     6    19     9
   13     2  5808    28     2     4    10    16    68     7
    2     0    43  5878     2    25     6    28   119    28
    4     8    19     4  5641     1    31     9    29    96
   15     2    17    50     8  5251    33     5    28    12
   24     3     8     4     3    28  5814     0    33     1
    1    10    25    10     3     2     1  6147    31    35
   17     6    16    15     3    11     8     1  5761    13
   19     3     1    60    25    24     5    29    55  5728
