 5636     0    18    84    23     3    16     2   131    10
    1  6466    50    76    12     4     4    18    97    14
   15    11  5325   198   107     1    35    58   197    11
    3     3    94  5780     5    38     7    54   113    34
    3     8    10    35  5560     1    15    10    75   125
   13     5    31   136    19  5052    42     4   103    16
   31     7    29    62    35    41  5562     1   144     6
   11     9    64    49    88     2     4  5891    27   120
   21    33    21    41    13    25    25    11  5638    23
    8     4     8    91    98    18     1   113    92  5516
