 5859     1    11     2     3     2     7     2    29     7
    1  6676    21     3     7     2     2     9    17     4
    8     2  5909     3     5     0     5    13     9     4
    3     0    46  5987     1    17     0    27    30    20
    2     8    12     1  5774     0    10     4     7    24
   14     3     8    30     5  5314    21     1    15    10
   14     5     6     1     2    14  5857     0    19     0
    2     9    18     1     9     2     1  6201     6    16
    7    14     6    10     3    10     6     5  5780    10
   14     2     4    30    16    22     1    27    45  5788
