 5874     0     5     5     6     1     9     0    21     2
    0  6678    16     7     9     2     2     8    12     8
    5     3  5919     4     2     1     3    10     9     2
    1     0    33  6016     2    16     0    17    28    18
    2     3     8     0  5781     1    11     2     3    31
    8     2    10    13     4  5336    17     5    18     8
   14     3     1     1     2     9  5870     0    18     0
    5     4    23     2     7     2     1  6187     9    25
    5     5     6     5     2     6     5     1  5808     8
   13     1     1    24    17    14     1    21    28  5829
