 5867     0     4     3     0     1     5     1    40     2
    1  6688    16     9     8     1     1     6     8     4
   10     3  5908     4     2     3     3     1    22     2
    2     1    20  6039     2     8     3     9    33    14
    1     2     2     2  5801     0     4     3     6    21
    2     2     5    17     3  5330    17     4    35     6
    9     2     3     1     2     5  5877     0    18     1
    1     9     7     4     6     0     0  6223     5    10
    5     8    12     3     1     3     4     0  5810     5
   13     0     2    12     9     5     0    10    35  5863
